Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-CBC-01-01-1,SRT-CBC-01,Broadcast,01_DirecTV Sports Venezuela Primary_LEAVE OFF,Provider Encoder_Fiber feed,caller,eno1,138.185.64.30,SRT,9332,0.0.0.0,connecting,0.0,12/17/25 13:35,CBC Video Network,UDP,5004,multicast,eno2,233.233.250.175,0.000,disconnected,369.04,358.38
SRT-CBC-01-02-1,SRT-CBC-01,Broadcast,02_ECUAVISA QUITO ECUADOR_PRIMARY,Provider Encoder,caller,eno1,190.63.18.178,SRT,10000,0.0.0.0,connecting,0.0,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.159,0.000,disconnected,369.04,358.38
SRT-CBC-01-03-1,SRT-CBC-01,Broadcast,03_Canal I Primary,Provider Encoder,caller,,38.41.27.35,SRT,9003,0.0.0.0,connected,6.663,12/17/25 13:35,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.250.161,6.884,connected,369.04,358.38
SRT-CBC-01-04-1,SRT-CBC-01,Broadcast,04_ShowVen TV Primary,Provider Encoder,caller,,200.90.12.21,SRT,9008,0.0.0.0,connected,4.636,12/17/25 13:35,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.250.160,4.690,connected,369.04,358.38
SRT-CBC-01-05-1,SRT-CBC-01,Broadcast,05_ABC_CBC_AVAILABLE,SRT-ABC-01,listener,eno1,0.0.0.0,SRT,10071,0.0.0.0,disconnected,0.0,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.166,0.0,disconnected,369.04,358.38
SRT-CBC-01-06-1,SRT-CBC-01,Broadcast,06_CBC_ABC_Escuela Plus HD_Contribution_P,CE105P07,multicast,eno2,239.139.213.170,UDP,5003,10.33.213.250,connected,12.259,12/17/25 13:35,SRT-ABC-01,SRT,10016,caller,eno2,10.177.58.101,12.262,connected,369.04,358.38
SRT-CBC-01-07-1,SRT-CBC-01,Broadcast,07_CBC_ABC_AVAILABLE,Primary Mux Feed,multicast,eno2,239.139.42.162,UDP,2026,10.33.42.162,disconnected,0.0,12/17/25 13:35,SRT-ABC-01,SRT,10019,caller,eno2,10.177.58.101,0.0,disconnected,369.04,358.38
SRT-CBC-01-08-1,SRT-CBC-01,Broadcast,08_ABC_CBC_HBO HD (CAR)_P,SRT-ABC-01,listener,,0.0.0.0,SRT,10010,0.0.0.0,connected,40.859,12/17/25 13:35,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.250.163,41.222,connected,369.04,358.38
SRT-CBC-01-09-1,SRT-CBC-01,Broadcast,09_VePlus HD Primary,Provider Encoder,caller,eno1,142.202.48.113,SRT,17815,0.0.0.0,connected,4.093,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.153,4.082,connected,369.04,358.38
SRT-CBC-01-10-1,SRT-CBC-01,Broadcast,10_TATA_CBC02_TEST,TATA_TEST,caller,eno1,66.110.75.73,SRT,10010,0.0.0.0,connected,8.181,12/17/25 13:35,TATA PLAYOUT TEST,UDP,5004,multicast,eno2,233.233.250.200,8.184,connected,369.04,358.38
SRT-CBC-01-11-1,SRT-CBC-01,Broadcast,11_ABC_CBC_FX-HD_P,SRT-ABC-03,listener,eno1,0.0.0.0,SRT,10073,0.0.0.0,connected,12.259,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.190,12.259,connected,369.04,358.38
SRT-CBC-01-12-1,SRT-CBC-01,Broadcast,12_ABC_CBC_Std-Universal-HD_P,SRT-ABC-03,listener,eno1,0.0.0.0,SRT,10075,0.0.0.0,connected,12.259,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.191,12.259,connected,369.04,358.38
SRT-CBC-01-13-1,SRT-CBC-01,Broadcast,13_ABC_CBC_UComedy-HD_P,SRT-ABC-03,listener,eno1,0.0.0.0,SRT,10076,0.0.0.0,connected,10.216,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.192,10.216,connected,369.04,358.38
SRT-CBC-01-14-1,SRT-CBC-01,Broadcast,14_VALE TV Primary,Provider Encoder,caller,,167.250.48.24,SRT,10001,0.0.0.0,connecting,0.0,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.162,0.000,disconnected,369.04,358.38
SRT-CBC-01-16-1,SRT-CBC-01,Broadcast,16_Vepaco TV Primary,Provider Encoder,caller,eno1,190.15.176.250,SRT,9010,0.0.0.0,connected,3.942,12/17/25 13:35,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.250.167,3.991,connected,369.04,358.38
SRT-CBC-01-17-1,SRT-CBC-01,Broadcast,17_CBC_CoBC_TX69 Primary MUX,HVOS CL P,multicast,eno2,239.139.48.38,UDP,5090,10.33.48.38,connected,47.412,12/17/25 13:35,ABC01-MUX69-WAROUND2,SRT,10017,caller,eno1,10.177.58.101,0.0,disconnected,369.04,358.38
SRT-CBC-01-17-2,SRT-CBC-01,Broadcast,17_CBC_CoBC_TX69 Primary MUX,HVOS CL P,,,,,,,,,12/17/25 13:35,ABC05_WORKAROUND,SRT,10027,caller,,10.177.58.105,0.0,disconnected,369.04,358.38
SRT-CBC-01-17-3,SRT-CBC-01,Broadcast,17_CBC_CoBC_TX69 Primary MUX,HVOS CL P,,,,,,,,,12/17/25 13:35,P2P SRT-CoBC-1,SRT,14169,caller,,10.177.242.101,47.412,connected,369.04,358.38
SRT-CBC-01-17-4,SRT-CBC-01,Broadcast,17_CBC_CoBC_TX69 Primary MUX,HVOS CL P,,,,,,,,,12/17/25 13:35,TEST UTPS,RTP,5090,unicast,eno2,10.33.49.38,0.0,disconnected,369.04,358.38
SRT-CBC-01-18-1,SRT-CBC-01,Broadcast,18_MORBIDO TV_P,Provider Encoder,caller,eno1,38.108.83.72,SRT,9010,0.0.0.0,connection established,0.0,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.168,0.000,disconnected,369.04,358.38
SRT-CBC-01-19-1,SRT-CBC-01,Broadcast,19_TC Television_OTT Primary,Provider Encoder,caller,,186.3.23.23,SRT,10000,0.0.0.0,connected,12.259,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.169,12.259,connected,369.04,358.38
SRT-CBC-01-24-1,SRT-CBC-01,Broadcast,24_CoBC_CBC_MNC-TOC 2 TX View return,SRT-CoBC-01,listener,,0.0.0.0,SRT,14004,0.0.0.0,connected,3.578,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.199,3.578,connected,369.04,358.38
SRT-CBC-01-25-1,SRT-CBC-01,Broadcast,25_CoBC_CBC_MNC- TOC 1 TX View return,SRT-CoBC-01,listener,,0.0.0.0,SRT,14003,0.0.0.0,connected,3.576,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.198,3.577,connected,369.04,358.38
SRT-CBC-01-26-1,SRT-CBC-01,Broadcast,26_CoBC_CBC_MNC- TOC 1 PID-Filter 2 View,SRT-CoBC-01,listener,,0.0.0.0,SRT,14006,0.0.0.0,connected,15.324,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.197,15.324,connected,369.04,358.38
SRT-CBC-01-27-1,SRT-CBC-01,Broadcast,27_CBC_CoBC_STB Guide Data,CBC UTPS 31 Primary,multicast,eno2,239.139.49.31,UDP,5080,10.33.49.31,connected,24.317,12/17/25 13:35,SRT-CoBC-01,SRT,14131,caller,,10.177.242.101,24.317,connected,369.04,358.38
SRT-CBC-01-28-1,SRT-CBC-01,Broadcast,28_PLAYOUT SPTS #1,AVCOM AWS,listener,,0.0.0.0,SRT,16002,0.0.0.0,disconnected,0.0,12/17/25 13:35,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.250.0,0.0,disconnected,369.04,358.38
SRT-CBC-01-29-1,SRT-CBC-01,Broadcast,29_PLAYOUT SPTS #2,AVCOM AWS,listener,eno1,0.0.0.0,SRT,16003,0.0.0.0,disconnected,0.0,12/17/25 13:35,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.250.151,0,,369.04,358.38
SRT-CBC-01-30-1,SRT-CBC-01,Broadcast,30_PLAYOUT MPTS #1,AVCOM AWS,listener,,0.0.0.0,SRT,16001,0.0.0.0,disconnected,0.0,12/17/25 13:35,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.250.154,0,,369.04,358.38
SRT-CBC-01-32-1,SRT-CBC-01,Broadcast,32_ABC_CBC_Available,SRT-ABC-03,listener,eno1,0.0.0.0,SRT,10020,0.0.0.0,connecting,0.0,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.176,0.0,disconnected,369.04,358.38
SRT-CBC-01-33-1,SRT-CBC-01,Broadcast,33_ABC_CBC_TeenNick,SRT-ABC-03,listener,eno1,0.0.0.0,SRT,10021,0.0.0.0,connected,20.429,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.177,20.429,connected,369.04,358.38
SRT-CBC-01-34-1,SRT-CBC-01,Broadcast,34_CBC01_ABC01_STINGRAY_P,STINGRAY,multicast,eno2,239.222.1.1,UDP,4002,10.33.65.247,connection established,0.0,12/17/25 13:35,
SRT-CBC-01-40-1,SRT-CBC-01,Broadcast,40_Available,RX1120P,multicast,eno2,239.139.211.120,UDP,5004,10.33.211.120,disconnected,0.0,12/17/25 13:35,Provider Encoder,SRT,60001,caller,eno1,54.147.123.240,0.0,disconnected,369.04,358.38
SRT-CBC-01-41-1,SRT-CBC-01,Broadcast,41_Available,Provider Encoder,caller,eno1,54.147.123.240,SRT,60002,0.0.0.0,connecting,0.0,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.178,0.0,disconnected,369.04,358.38
SRT-CBC-01-42-1,SRT-CBC-01,Broadcast,42_Marquee_Sports,Provider Encoder,caller,eno1,162.150.42.68,SRT,5023,0.0.0.0,connected,11.102,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.170,11.102,connected,369.04,358.38
SRT-CBC-01-43-1,SRT-CBC-01,Broadcast,43_AZ-CORAZON_CBC01_P,Provider Encoder,listener,eno1,0.0.0.0,SRT,10014,0.0.0.0,disconnected,0.0,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.193,0.0,disconnected,369.04,358.38
SRT-CBC-01-44-1,SRT-CBC-01,Broadcast,44_Flow_Sports,Provider Encoder,caller,eno1,181.188.29.78,SRT,4604,0.0.0.0,disconnected,0.0,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.194,0.0,disconnected,369.04,358.38
SRT-CBC-01-45-1,SRT-CBC-01,Broadcast,45_Baby_TV,Provider Encoder,caller,eno1,195.219.20.178,SRT,50004,0.0.0.0,connected,6.131,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.195,6.131,connected,369.04,358.38
SRT-CBC-01-52-1,SRT-CBC-01,Broadcast,52_ABC_CBC_U-1575-Universal Reality,SRT-ABC-03,caller,eno1,10.177.58.103,SRT,10052,0.0.0.0,connected,12.259,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.172,12.259,connected,369.04,358.38
SRT-CBC-01-53-1,SRT-CBC-01,Broadcast,53_ABC_CBC_AVAILABLE,SRT-ABC-03,caller,eno1,10.177.58.103,SRT,10053,0.0.0.0,connecting,0.0,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.173,0.0,disconnected,369.04,358.38
SRT-CBC-01-54-1,SRT-CBC-01,Broadcast,54_ABC_CBC_AVAILABLE,SRT-ABC-03,caller,eno1,10.177.58.103,SRT,10054,0.0.0.0,disconnected,0.0,12/17/25 13:35,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.174,0.0,disconnected,369.04,358.38
SRT-CBC-01-55-1,SRT-CBC-01,Broadcast,55_CBC_ABC_Daily Loop Playout,RXCE105P04,multicast,eno2,239.139.213.140,UDP,5003,10.33.213.250,connected,8.177,12/17/25 13:35,SRT-ABC-03,SRT,10041,caller,eno2,10.177.58.103,0.0,disconnected,369.04,358.38
SRT-CBC-01-56-1,SRT-CBC-01,Broadcast,56_ABC_CBC_Available,Provider Encoder,caller,,190.104.242.106,SRT,10063,0.0.0.0,connecting,0.0,12/17/25 13:35,CBC Video Network,RTP,5004,multicast,eno2,233.233.250.181,0.0,disconnected,369.04,358.38
SRT-CBC-01-57-1,SRT-CBC-01,Broadcast,57_ABC_CBC_Available_IP_InUse,SRT-ABC-03-LH2-KYRION-SOURCE,listener,eno1,0.0.0.0,SRT,10064,0.0.0.0,disconnected,0.0,12/17/25 13:35,CBC Video Network,UDP,5004,multicast,eno2,233.233.250.188,0.0,disconnected,369.04,358.38
SRT-CBC-01-60-1,SRT-CBC-01,Broadcast,60_CBC01_ABC01_ITX-PPV01_P,CE105P02_12901,multicast,eno2,239.139.213.120,UDP,5003,10.33.213.250,connected,12.266,12/17/25 13:35,ABC01,SRT,10060,caller,eno1,10.177.58.101,12.259,connected,369.04,358.38
SRT-CBC-01-61-1,SRT-CBC-01,Broadcast,61_CBC02_ABC02_ITX-PPV02_P,CE103P08_12906,multicast,eno2,239.139.213.138,UDP,5003,10.33.213.130,connected,12.260,12/17/25 13:35,ABC02,SRT,10061,caller,eno1,10.177.58.101,12.259,connected,369.04,358.38
SRT-CBC-01-62-1,SRT-CBC-01,Broadcast,62_CBC01_ABC01_ITX-PPV03_P,CE102P03_13101,multicast,eno2,239.139.213.123,UDP,5003,10.33.213.120,connected,12.261,12/17/25 13:35,ABC01,SRT,10062,caller,eno1,10.177.58.101,12.265,connected,369.04,358.38
