Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-COBC-02-006-1,SRT-COBC-02,Broadcast,006_COBCX2_ABC05_MON-01_2,ADTEC-01,multicast,ens32,239.77.216.131,UDP,8000,10.77.216.130,connected,3.578,12/17/25 13:36,abc05_in2,SRT,14101,caller,ens33,168.195.108.105,3.573,connected,296.46,236.29
SRT-COBC-02-01-1,SRT-COBC-02,Broadcast,01_C0BC PID Filter 4,Sencore 4,multicast,ens32,239.77.216.114,UDP,10000,10.77.216.114,connected,15.324,12/17/25 13:36,Pid-Filter-4-CoBC-CBC,SRT,14006,caller,ens33,154.197.114.205,15.324,connected,296.46,236.29
SRT-COBC-02-02-1,SRT-COBC-02,Broadcast,02_COBC-PID_MON-02,SENCORE-02,multicast,ens32,239.77.204.113,UDP,10000,10.77.204.113,connected,15.324,12/17/25 13:36,COBC-PID_MON-02,SRT,14005,caller,ens33,10.177.58.101,15.324,disconnected,296.46,236.29
SRT-COBC-02-03-1,SRT-COBC-02,Broadcast,03_COBC02_ABC05_PID-MON-01_2doflujo,SENCORE-01,multicast,,239.77.204.111,UDP,10000,10.77.204.111,connection established,0.0,12/17/25 13:36,
SRT-COBC-02-04-1,SRT-COBC-02,Broadcast,04_COBC_MON-05_TX-TOC2ABC,ADTEC-05,multicast,ens32,239.77.216.135,UDP,8000,10.77.216.130,connected,3.576,12/17/25 13:36,COBC_MON-05,SRT,14001,caller,ens33,10.177.58.103,0.0,disconnected,296.46,236.29
SRT-COBC-02-04-2,SRT-COBC-02,Broadcast,04_COBC_MON-05_TX-TOC2ABC,ADTEC-05,,,,,,,,,12/17/25 13:36,COBC_MON_05_SRT5,SRT,14001,caller,ens33,10.177.58.105,3.576,disconnected,296.46,236.29
SRT-COBC-02-05-1,SRT-COBC-02,Broadcast,05_COBC_MON-06,ADTEC-06,multicast,ens32,239.77.216.136,UDP,8000,10.77.216.130,connected,3.576,12/17/25 13:36,COBC_MON-06,SRT,14102,caller,ens33,10.177.58.103,0.000,disconnected,296.46,236.29
SRT-COBC-02-06-1,SRT-COBC-02,Broadcast,06_COBC_MON-07,ADTEC-07,multicast,ens32,239.77.216.137,UDP,8000,10.77.216.130,connected,10.217,12/17/25 13:36,COBC_MON-07,SRT,14003,listener,ens33,0.0.0.0,0,disconnected,296.46,236.29
SRT-COBC-02-07-1,SRT-COBC-02,Broadcast,07_COBC_MON-08,ADTEC-08,multicast,ens32,239.77.216.138,UDP,8000,10.77.216.130,connected,3.578,12/17/25 13:36,COBC_MON-08,SRT,14004,caller,ens33,10.177.58.103,0.000,disconnected,296.46,236.29
SRT-COBC-02-08-1,SRT-COBC-02,Broadcast,08_CoBC-TX-View-1,ADTEC-03,multicast,ens32,239.77.216.133,UDP,8000,10.77.216.130,connection established,0.0,12/17/25 13:36,TX-View 1 - CoBC-CBC,SRT,14003,caller,ens33,99.193.236.205,0.000,disconnected,296.46,236.29
