Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-COBC-01-01-1,SRT-COBC-01,Broadcast,01_CBC_CoBC_STB Guide Data,CBC UTPS 31 Primary,listener,,0.0.0.0,SRT,14131,0.0.0.0,connected,24.320,12/17/25 13:36,Guide Data Modulator,UDP,5080,multicast,ens32,239.77.206.31,24.323,connected,268.17,131.11
SRT-COBC-01-02-1,SRT-COBC-01,Broadcast,02_COBC01_DL-IRD 1,ADTEC-04,multicast,ens32,239.77.216.134,UDP,8000,10.77.216.130,connection established,0.0,12/17/25 13:36,COBC_MON_04,SRT,14004,listener,ens33,0.0.0.0,0,disconnected,268.17,131.11
SRT-COBC-01-03-1,SRT-COBC-01,Broadcast,03_COBC-PID_MON-01,SENCORE-01,multicast,ens32,239.77.204.111,UDP,10000,10.77.204.111,connected,36.490,12/17/25 13:36,COBC-PID_MON-01,SRT,14105,caller,ens33,10.177.58.103,0.0,disconnected,268.17,131.11
SRT-COBC-01-03-2,SRT-COBC-01,Broadcast,03_COBC-PID_MON-01,SENCORE-01,,,,,,,,,12/17/25 13:36,COBC-PID_MON-01-SRT5,SRT,14105,caller,ens33,10.177.58.105,36.478,disconnected,268.17,131.11
SRT-COBC-01-03-3,SRT-COBC-01,Broadcast,03_COBC-PID_MON-01,SENCORE-01,,,,,,,,,12/17/25 13:36,COBC-PID_MON-01-intnet,SRT,14105,caller,,168.195.108.103,0.0,disconnected,268.17,131.11
SRT-COBC-01-04-1,SRT-COBC-01,Broadcast,04_COBC-TX-View-1,ADTEC-03,multicast,ens32,239.77.216.133,UDP,8000,10.77.216.130,connection established,0.0,12/17/25 13:36,COBC_MON_03,SRT,14003,listener,ens33,0.0.0.0,0,disconnected,268.17,131.11
SRT-COBC-01-05-1,SRT-COBC-01,Broadcast,05_COBC01_BBC01_VUTPS-70,VUTPS-70,multicast,ens32,239.77.206.70,RTP,5080,10.77.205.70,connected,47.921,12/17/25 13:36,BBC01-VUTPS-70,SRT,14025,caller,ens33,189.28.24.97,0.0,disconnected,268.17,131.11
SRT-COBC-01-06-1,SRT-COBC-01,Broadcast,06_COBC_MON-01_no borrar,ADTEC-01,multicast,ens32,239.77.216.131,UDP,8000,10.77.216.130,connected,3.573,12/17/25 13:36,COBC_MON1_01_SRT5_in1,SRT,14101,caller,ens33,10.177.58.105,3.574,disconnected,268.17,131.11
SRT-COBC-01-06-2,SRT-COBC-01,Broadcast,06_COBC_MON-01_no borrar,ADTEC-01,,,,,,,,,12/17/25 13:36,COBC_MON_01,SRT,14101,caller,ens33,10.177.58.103,0.0,disconnected,268.17,131.11
SRT-COBC-01-07-1,SRT-COBC-01,Broadcast,07_COBC01_MON-02,ADTEC-02,multicast,ens32,239.77.216.132,UDP,8000,10.77.216.130,connected,3.576,12/17/25 13:36,CBC TOC 1 TX View,SRT,14003,caller,ens33,10.133.92.150,3.578,connected,268.17,131.11
SRT-COBC-01-07-2,SRT-COBC-01,Broadcast,07_COBC01_MON-02,ADTEC-02,,,,,,,,,12/17/25 13:36,CBC TOC 1 TX View-intr,SRT,14003,caller,,99.193.236.203,0.0,disconnected,268.17,131.11
SRT-COBC-01-07-3,SRT-COBC-01,Broadcast,07_COBC01_MON-02,ADTEC-02,,,,,,,,,12/17/25 13:36,COBC_MON_02,SRT,14002,caller,ens33,168.195.108.103,0.000,disconnected,268.17,131.11
SRT-COBC-01-08-1,SRT-COBC-01,Broadcast,08_COBC01_MON-06,ADTEC-06,multicast,ens32,239.77.216.136,UDP,8000,10.77.216.130,connected,3.577,12/17/25 13:36,CBC TOC 2 TX View,SRT,14004,caller,ens33,10.133.92.150,3.577,connected,268.17,131.11
SRT-COBC-01-08-2,SRT-COBC-01,Broadcast,08_COBC01_MON-06,ADTEC-06,,,,,,,,,12/17/25 13:36,CBC TOC 2 TX View-intr,SRT,14004,caller,,99.193.236.203,0.0,disconnected,268.17,131.11
SRT-COBC-01-09-1,SRT-COBC-01,Broadcast,09_CoBC-PID-Filter 2,Sencore-2,multicast,ens32,239.77.216.112,UDP,10000,10.77.216.112,connected,15.324,12/17/25 13:36,Pid-Filter 2 - CoBC-CBC,SRT,14006,caller,ens33,10.133.92.150,15.324,connected,268.17,131.11
