Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-CBC-02-54-1,SRT-CBC-02,Broadcast,54_ABC_CBC_AVAILABLE,SRT-ABC-04,caller,eno1,168.195.108.104,SRT,10054,0.0.0.0,disconnected,0.0,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.174,0.0,disconnected,430.34,368.46
SRT-CBC-02-55-1,SRT-CBC-02,Broadcast,55_CBC_ABC_Daily Loop Playout,RXCE105B04,multicast,eno2,239.139.223.140,UDP,5003,10.33.223.250,connected,8.175,07/16/25 11:27,SRT-ABC-04,SRT,10044,caller,eno2,168.195.108.104,8.173,connected,430.34,368.46
SRT-CBC-02-56-1,SRT-CBC-02,Broadcast,56_ABC_CBC_Available,Provider Encoder,caller,,190.104.242.106,SRT,9030,0.0.0.0,connecting,0.0,07/16/25 11:27,CBC Video Network,RTP,5004,multicast,eno2,233.233.251.181,0.0,disconnected,430.34,368.46
SRT-CBC-02-57-1,SRT-CBC-02,Broadcast,57_ABC_CBC_Available,SRT-ABC-4,caller,eno1,168.195.108.104,SRT,10039,0.0.0.0,disconnected,0.0,07/16/25 11:27,CBC Video Network,RTP,5004,multicast,eno2,233.233.251.182,0.0,disconnected,430.34,368.46
SRT-CBC-02-60-1,SRT-CBC-02,Broadcast,60_CBC02_ABC02_ITX-PPV01_B,CE105B02_12901,multicast,eno2,239.139.223.120,UDP,5003,10.33.223.250,connected,12.259,07/16/25 11:27,ABC02,SRT,10060,caller,eno1,168.195.108.102,12.261,connected,430.34,368.46
SRT-CBC-02-61-1,SRT-CBC-02,Broadcast,61_CBC02_ABC02_ITX-PPV02_B,CE103B08_12906,multicast,eno2,239.139.223.138,UDP,5003,10.33.223.130,connected,12.265,07/16/25 11:27,ABC02,SRT,10061,caller,eno1,168.195.108.102,12.262,connected,430.34,368.46
SRT-CBC-02-62-1,SRT-CBC-02,Broadcast,62_CBC02_ABC02_ITX-PPV03_B,CE102B03_13101,multicast,eno2,239.139.223.123,UDP,5003,10.33.223.120,connected,12.259,07/16/25 11:27,ABC02,SRT,10062,caller,eno1,168.195.108.102,12.259,connected,430.34,368.46
SRT-CBC-02-63-1,SRT-CBC-02,Broadcast,63_CBC02_ABC02_ITX-PPV04_B,CE102B05_13106,multicast,eno2,239.139.223.125,UDP,5003,10.33.223.120,connected,12.259,07/16/25 11:27,ABC02,SRT,10066,caller,eno1,168.195.108.102,12.257,connected,430.34,368.46
SRT-CBC-02-64-1,SRT-CBC-02,Broadcast,64_CBC02_ABC05_ITX-PPV05_B,CE102B08_13111,multicast,eno2,239.139.223.128,UDP,5003,10.33.223.120,connected,12.259,07/16/25 11:27,ABC02,SRT,10067,caller,eno1,168.195.108.102,12.259,connected,430.34,368.46
SRT-CBC-02-74-1,SRT-CBC-02,Broadcast,74_MLB CH1-PD01-TGT-AWS-EAST-BU,MLB CH1,caller,eno1,ydjge-srt.mlb.io.zixi.com,SRT,15001,0.0.0.0,connecting,0.0,07/16/25 11:27,
SRT-CBC-02-75-1,SRT-CBC-02,Broadcast,75_MLB CH2-PD01-TGT-AWS-EAST-BU,MLB CH2,caller,eno1,kkvwm-srt.mlb.io.zixi.com,SRT,15002,0.0.0.0,connecting,0.0,07/16/25 11:27,
SRT-CBC-02-76-1,SRT-CBC-02,Broadcast,76_MLB CH3-PD01-TGT-AWS-EAST-BU,MLB CH3,caller,eno1,awjen-srt.mlb.io.zixi.com,SRT,15003,0.0.0.0,disconnected,0.0,07/16/25 11:27,
SRT-CBC-02-77-1,SRT-CBC-02,Broadcast,77_MLB CH4-PD01-TGT-AWS-WEST-BU,MLB CH4,caller,eno1,mmewe-srt.mlb.io.zixi.com,SRT,15004,0.0.0.0,disconnected,0.0,07/16/25 11:27,
SRT-CBC-02-78-1,SRT-CBC-02,Broadcast,78_MLB CH5-PD01-TGT-AWS-WEST-BU,MLB CH5,caller,eno1,jydwq-srt.mlb.io.zixi.com,SRT,15005,0.0.0.0,disconnected,0.0,07/16/25 11:27,
SRT-CBC-02-79-1,SRT-CBC-02,Broadcast,79_MLB CH6-PD01-TGT-AWS-WEST-BU,MLB CH6,caller,eno1,dgpwg-srt.mlb.io.zixi.com,SRT,15006,0.0.0.0,disconnected,0.0,07/16/25 11:27,
SRT-CBC-02-80-1,SRT-CBC-02,Broadcast,80_MUX-TO-AWS-DX-TEST,MUX-HD-25,multicast,eno2,239.139.48.25,RTP,5090,10.33.48.25,connected,41.230,07/16/25 11:27,CBC VDIP,UDP,5004,multicast,eno2,233.233.251.159,0.0,disconnected,430.34,368.46
SRT-CBC-02-80-2,SRT-CBC-02,Broadcast,80_MUX-TO-AWS-DX-TEST,MUX-HD-25,,,,,,,,,07/16/25 11:27,DirectConnect_DX_MC,SRT,10000,caller,eno2,10.234.0.109,41.230,connected,430.34,368.46
SRT-CBC-02-81-1,SRT-CBC-02,Broadcast,81_RFI,RFI,caller,eno1,ip5.easytools.tv,SRT,11457,0.0.0.0,connecting,0.0,07/16/25 11:27,RFI radio at CBC VDIP,UDP,5004,multicast,eno2,233.233.251.185,0.000,disconnected,430.34,368.46
SRT-CBC-02-82-1,SRT-CBC-02,Broadcast,82_VENUS_CBC02_BK,CLAXON-VENUS_BK,caller,eno1,15.204.142.109,SRT,10082,0.0.0.0,connected,2.915,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.211,2.913,connected,430.34,368.46
SRT-CBC-02-83-1,SRT-CBC-02,Broadcast,83_PLAYBOY-TV_CBC02_BK,CLAXON-PLAYBOY-TV_BK,caller,eno1,15.204.142.109,SRT,10083,0.0.0.0,connected,2.932,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.212,2.934,connected,430.34,368.46
SRT-CBC-02-84-1,SRT-CBC-02,Broadcast,84_HUSTLER-TV_CBC02_BK,HUSTLER-TV_BK,caller,eno1,176.61.131.55,SRT,6019,0.0.0.0,connected,5.524,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.213,5.522,connected,430.34,368.46
SRT-CBC-02-85-1,SRT-CBC-02,Broadcast,85_XTSY-XXX_CBC02_BK,XTSY-XXX_BK,caller,eno1,176.61.131.55,SRT,6020,0.0.0.0,connected,5.579,07/16/25 11:27,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.251.214,5.578,connected,430.34,368.46
