Description;Asset;Route Name;Source Name;Asset Type;Source State;Destination State;Destination Name;Source Mode;Destination Mode;Source Interface;Destination Interface;Source Protocol;Destination Protocol;Source BW;Destination BW;S_SSM;Destination IP;Source Address;Destination Port;Source Port;Last Update;BW In Total;BW Out Total
SRT-COBC-02-006-1;SRT-COBC-02;006_COBC_MON-07;ADTEC-07;Broadcast;disconnected;disconnected;COBC_MON-07;Multicast;Listener;ens32;ens33;UDP;SRT;0;0;10.77.216.130;0.0.0.0;239.77.216.137;14,003;8,000;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-005-1;SRT-COBC-02;005_COBC_MON-06;ADTEC-06;Broadcast;connected;disconnected;COBC_MON-06;Multicast;Caller;ens32;ens33;UDP;SRT;3.57;0;10.77.216.130;10.177.58.103;239.77.216.136;14,102;8,000;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-004-2;SRT-COBC-02;004_COBC_MON-05_TX-TOC2ABC;ADTEC-05;Broadcast;;connected;COBC_MON_05_SRT5;;Caller;;ens33;;SRT;;3.58;;10.177.58.105;;14,001;;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-004-1;SRT-COBC-02;004_COBC_MON-05_TX-TOC2ABC;ADTEC-05;Broadcast;connected;disconnected;COBC_MON-05;Multicast;Caller;ens32;ens33;UDP;SRT;3.58;0;10.77.216.130;10.177.58.103;239.77.216.135;14,001;8,000;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-003-1;SRT-COBC-02;003_COBC02_ABC05_PID-MON-01_2doflujo;SENCORE-01;Broadcast;connection established;;;Multicast;;;;UDP;;0;;10.77.204.111;;239.77.204.111;;10,000;2/6/2026 09:36;;
SRT-COBC-02-002-1;SRT-COBC-02;002_COBC-PID_MON-02;SENCORE-02;Broadcast;connected;disconnected;COBC-PID_MON-02;Multicast;Caller;ens32;ens33;UDP;SRT;15.32;0;10.77.204.113;10.177.58.101;239.77.204.113;14,005;10,000;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-001-1;SRT-COBC-02;001_C0BC PID Filter 4;Sencore 4;Broadcast;connected;disconnected;Pid-Filter-4-CoBC-CBC;Multicast;Caller;ens32;ens33;UDP;SRT;15.32;0;10.77.216.114;154.197.114.205;239.77.216.114;14,006;10,000;2/6/2026 09:36;391.76;259.43
SRT-COBC-01-030-1;SRT-COBC-01;030_BBC01_COBC01_MUX18_P;BBC-MUX18_P;Broadcast;connecting;;;Caller;;;;SRT;;0;;0.0.0.0;;189.28.24.97;;14,025;2/6/2026 09:36;;
SRT-COBC-01-029-1;SRT-COBC-01;029_ABC-MUX70-P_FEC;ABC-MUX70-P;Broadcast;disconnected;;ABC-MUX70-P_FEC;Caller;Multicast;ens33;ens32;SRT;UDP;0;0;0.0.0.0;239.9.250.170;10.177.58.101;5,090;14,170;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-009-2;SRT-COBC-01;009_CoBC-PID-Filter 2;Sencore-2;Broadcast;;disconnected;Pid-Filter 2 - CoBC-CBC-intr;;Caller;;;;SRT;;0;;99.193.236.203;;14,006;;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-009-1;SRT-COBC-01;009_CoBC-PID-Filter 2;Sencore-2;Broadcast;connected;connected;Pid-Filter 2 - CoBC-CBC;Multicast;Caller;ens32;ens33;UDP;SRT;15.32;15.32;10.77.216.112;10.133.92.150;239.77.216.112;14,006;10,000;2/6/2026 09:36;338.43;280.35
SRT-COBC-02-104-1;SRT-COBC-02;104_tata_cobc02_ Tx69_bk;Tx69_bk;Broadcast;connected;;;Listener;;ens33;;SRT;;47.51;;0.0.0.0;;0.0.0.0;;10,104;2/6/2026 09:36;;
SRT-COBC-02-103-1;SRT-COBC-02;103_tata_cobc02_tx-67_bk;tx67_bk;Broadcast;connected;connected;vutps;Listener;Multicast;ens33;ens32;SRT;RTP;36.14;36.05;0.0.0.0;239.9.251.67;0.0.0.0;5,090;10,103;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-026-1;SRT-COBC-02;026_TX88B-UTPS-ABC_COBC;TX88-UTPS-ABC;Broadcast;disconnected;;TX-88;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.77.218.88;0.0.0.0;5,080;14,088;2/6/2026 09:36;391.76;259.43
SRT-COBC-01-027-1;SRT-COBC-01;027_TX88P-UTPS-ABC_COBC;TX88-UTPS-ABC;Broadcast;disconnected;;TX-88;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.77.206.88;0.0.0.0;5,080;14,088;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-025-1;SRT-COBC-01;025_TX73P-vUTPS-CBC_COBC;TX73-UTPS;Broadcast;disconnected;;TX-73;Listener;Multicast;ens33;ens32;SRT;RTP;0;0;0.0.0.0;239.77.206.73;0.0.0.0;5,080;14,073;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-022-1;SRT-COBC-01;022_TX68P-UTPS-ABC_COBC;TX68-UTPS-ABC;Broadcast;disconnected;;TX-68;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.77.206.68;0.0.0.0;5,080;14,068;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-020-1;SRT-COBC-01;020_TX66P-vUTPS-CBC_COBC;TX66-UTPS;Broadcast;disconnected;;TX-66;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.77.206.66;0.0.0.0;5,080;14,066;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-017-1;SRT-COBC-01;017_TX-67-MUX-CBC-COBC;CBC SRT P;Broadcast;disconnected;;TX-67-vUTPS-P;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.9.250.67;0.0.0.0;5,090;14,167;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-008-2;SRT-COBC-01;008_COBC01_MON-06;ADTEC-06;Broadcast;;disconnected;CBC TOC 2 TX View-intr;;Caller;;;;SRT;;0;;99.193.236.203;;14,004;;2/6/2026 09:36;338.43;280.35
SRT-COBC-02-Tx73-1;SRT-COBC-02;Tx73;Tx73;Broadcast;disconnected;;;Listener;;ens33;;SRT;;0;;0.0.0.0;;0.0.0.0;;10,105;2/6/2026 09:36;;
SRT-COBC-01-008-1;SRT-COBC-01;008_COBC01_MON-06;ADTEC-06;Broadcast;connected;connected;CBC TOC 2 TX View;Multicast;Caller;ens32;ens33;UDP;SRT;3.58;3.58;10.77.216.130;10.133.92.150;239.77.216.136;14,004;8,000;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-007-3;SRT-COBC-01;007_COBC01_MON-02;ADTEC-02;Broadcast;;disconnected;COBC_MON_02;;Caller;;ens33;;SRT;;0;;168.195.108.103;;14,002;;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-007-2;SRT-COBC-01;007_COBC01_MON-02;ADTEC-02;Broadcast;;disconnected;CBC TOC 1 TX View-intr;;Caller;;;;SRT;;0;;99.193.236.203;;14,003;;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-006-1;SRT-COBC-01;006_COBC_MON-01_no borrar;ADTEC-01;Broadcast;connected;connected;COBC_MON1_01_SRT5_in1;Multicast;Caller;ens32;ens33;UDP;SRT;3.58;3.58;10.77.216.130;10.177.58.105;239.77.216.131;14,101;8,000;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-003-1;SRT-COBC-01;003_COBC-PID_MON-01;SENCORE-01;Broadcast;connected;disconnected;COBC-PID_MON-01;Multicast;Caller;ens32;ens33;UDP;SRT;36.46;0;10.77.204.111;10.177.58.103;239.77.204.111;14,105;10,000;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-001-1;SRT-COBC-01;001_CBC_CoBC_STB Guide Data;CBC UTPS 31 Primary;Broadcast;disconnected;disconnected;Guide Data Modulator;Listener;Multicast;;ens32;SRT;UDP;0;0;0.0.0.0;239.77.206.31;0.0.0.0;5,080;14,131;2/6/2026 09:36;338.43;280.35
SRT-COBC-02-023-1;SRT-COBC-02;023_TX70B-UTPS-ABC_COBC;TX70-UTPS-ABC;Broadcast;disconnected;;TX-70;Listener;Multicast;ens33;ens32;SRT;RTP;0;0;0.0.0.0;239.77.218.70;0.0.0.0;5,080;14,070;2/6/2026 09:36;391.76;259.43
