Description;Asset;Route Name;Source Name;Asset Type;Source State;Destination State;Destination Name;Source Mode;Destination Mode;Source Interface;Destination Interface;Source Protocol;Destination Protocol;Source BW;Destination BW;S_SSM;Destination IP;Source Address;Destination Port;Source Port;Last Update;BW In Total;BW Out Total
SRT-CBC-01-54-1;SRT-CBC-01;54_ABC_CBC_AVAILABLE;SRT-ABC-03;Broadcast;disconnected;disconnected;CBC VIDEO NETWORK;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;233.233.250.174;10.177.58.103;5,004;10,054;2/6/2026 09:35;377.38;368.39
SRT-ABC-05-123-1;SRT-ABC-05;123_Tigo Sports New_ABC;123_Tigo Sports New_ABC;Broadcast;connecting;;;Caller;;eno1;;SRT;;0;;0.0.0.0;;181.40.44.13;;3,000;2/6/2026 09:35;;
SRT-ABC-05-102-1;SRT-ABC-05;102_ABC05_SIMPLE-TV_ONDIRECTV-NORTE_P;ONDIRECTV-NORTE-P;Broadcast;connected;connected;SIMPLE-TV;Multicast;Caller;eno2;eno1;UDP;SRT;10.22;10.22;10.77.54.51;138.185.64.42;239.77.40.90;4,078;8,000;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-101-1;SRT-ABC-05;101_ABC05_SIMPLE_DSPORT-PAN_P;DKyrion-1P-DSPORT-PAN_P;Broadcast;connected;connected;simple-test;Multicast;Caller;eno2;eno1;UDP;SRT;13.94;13.94;10.77.6.5;138.185.64.42;239.195.6.5;4,077;8,000;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-047-1;SRT-ABC-05;047_LA REDONDA CANELA_ABC;REDONDA;Broadcast;connecting;disconnected;RC-ABC-1002;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;238.77.25.47;190.15.139.107;10,000;1,081;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-028-1;SRT-ABC-05;028_REMATESRURA_UY_P;REMATESRURALES_UY_P;Broadcast;connecting;disconnected;REMATESRUL_;Listener;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;238.77.25.28;0.0.0.0;10,000;10,028;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-026-1;SRT-ABC-05;026_Boomberg-B;Boomberg-B;Broadcast;connecting;disconnected;Bloomberg_B;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;238.77.25.26;54.207.127.59;10,000;5,002;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-010-1;SRT-ABC-05;010_CBC01_ABC03_TEST;CBC01;Broadcast;disconnected;;RCV 24P;Listener;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;238.77.25.10;0.0.0.0;10,000;10,041;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-003-1;SRT-ABC-05;003_KZO_ABC01_B;KZO-HD;Broadcast;connecting;disconnected;LAN;Listener;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;238.77.25.3;0.0.0.0;10,000;10,013;2/6/2026 09:35;427.71;435.77
SRT-ABC-04-105-1;SRT-ABC-04;105_NATIVA_ABC04_BK;NATIVA_TV_BK;Broadcast;connected;connected;RCV-ABC-1361-B;Caller;Multicast;ens33;ens34;SRT;UDP;14.63;14.91;0.0.0.0;238.77.24.105;181.177.228.125;10,000;10,009;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-093-1;SRT-ABC-04;093_ABC04_JBC17_TX-TEST-RTP-HHH;KYRION_1P_CH1;Broadcast;disconnected;disconnected;JBC17;Multicast;Listener;ens34;;RTP;SRT;0;0;10.77.6.1;0.0.0.0;239.195.6.1;10,043;8,000;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-089-1;SRT-ABC-04;089_ABC04_TVU_POC_TEST;NIKJR_HD-BK;Broadcast;disconnected;disconnected;TVU-AMPP;Multicast;Caller;ens34;ens33;UDP;SRT;0;0;10.77.23.116;54.147.123.240;239.77.17.116;60,001;8,999;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-072-1;SRT-ABC-04;072_TLMX_BACKUP-ABC;TLMX-B;Broadcast;disconnected;;;Listener;;ens33;;SRT;;0;;0.0.0.0;;0.0.0.0;;10,072;2/6/2026 09:35;;
SRT-ABC-04-006-3;SRT-ABC-04;006_ABC_INTER-TV_DTV-SPORTS-PAN_P;DTV-SPORTS-PAN;Broadcast;;connected;RCV MON TOC 3;;Multicast;;ens34;;UDP;;13.94;;238.77.23.6;;10,000;;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-017-1;SRT-ABC-04;017_cinemaplus_abc04_bk;cinemaplus_b;Broadcast;connection established;disconnected;harmonic;Caller;Multicast;ens33;ens34;SRT;UDP;0;0;0.0.0.0;238.77.24.17;38.110.1.132;10,000;9,994;2/6/2026 09:35;317.92;470.46
SRT-CBC-02-82-1;SRT-CBC-02;82_VENUS_CBC02_BK;CLAXON-VENUS_BK;Broadcast;connected;connected;CBC VIDEO NETWORK;Caller;Multicast;eno1;eno2;SRT;UDP;7.01;7.01;0.0.0.0;233.233.251.211;15.204.160.114;5,004;10,082;2/6/2026 09:35;439.65;333.46
SRT-CBC-02-07-1;SRT-CBC-02;07_CBC_ABC_AVAILABLE;Backup Mux Feed;Broadcast;disconnected;disconnected;SRT-ABC-02;Multicast;Caller;eno2;;UDP;SRT;0;0;10.33.42.162;168.195.108.102;239.139.42.162;10,019;2,026;2/6/2026 09:35;439.65;333.46
SRT-CBC-02-06-1;SRT-CBC-02;06_CBC_ABC_Escuela Plus HD_Contribution_B;CE105B07;Broadcast;connected;connected;SRT-ABC-02;Multicast;Caller;eno2;eno2;UDP;SRT;12.26;12.26;10.33.223.250;168.195.108.102;239.139.223.170;10,016;5,003;2/6/2026 09:35;439.65;333.46
SRT-CBC-02-05-1;SRT-CBC-02;05_Reino Infantil;Provider Encoder;Broadcast;connecting;disconnected;CBC Video Network;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;233.233.251.166;200.33.4.44;5,004;10,073;2/6/2026 09:35;439.65;333.46
SRT-CBC-02-04-1;SRT-CBC-02;04_ShowVen TV Backup;Provider Encoder;Broadcast;connecting;disconnected;CBC VIDEO NETWORK;Caller;Multicast;;eno2;SRT;RTP;0;0;0.0.0.0;233.233.251.160;200.90.12.19;5,004;9,008;2/6/2026 09:35;439.65;333.46
SRT-CBC-01-83-1;SRT-CBC-01;83_PLAYBOY-TV_CBC01_P;CLAXON-PLAYBOY-TV_P;Broadcast;connected;connected;CBC VIDEO NETWORK;Caller;Multicast;eno1;eno2;SRT;UDP;6.8;6.79;0.0.0.0;233.233.250.212;15.204.160.128;5,004;10,083;2/6/2026 09:35;377.38;368.39
SRT-CBC-01-80-1;SRT-CBC-01;80_MUX-TO-AWS-DX-TEST;MUX-25-P;Broadcast;disconnected;disconnected;DirectConnect_DX_MC;Multicast;Caller;eno2;eno2;RTP;SRT;0;0;10.33.48.25;10.0.7.179;239.139.48.25;10,000;5,090;2/6/2026 09:35;377.38;368.39
SRT-CBC-01-75-1;SRT-CBC-01;75_MLB CH2-PD01-TGT-AWS-EAST-MAIN;MLB CH2;Broadcast;connecting;disconnected;CBC VIDEO NETWORK;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;233.233.250.206;kkvwm-srt.mlb.io.zixi.com;5,004;15,002;2/6/2026 09:35;377.38;368.39
SRT-CBC-01-63-1;SRT-CBC-01;63_CBC01_ABC01_ITX-PPV04_P;CE102P05_13106;Broadcast;connected;connected;ABC01;Multicast;Caller;eno2;eno1;UDP;SRT;12.27;12.26;10.33.213.120;10.177.58.101;239.139.213.125;10,063;5,003;2/6/2026 09:35;377.38;368.39
SRT-CBC-01-57-1;SRT-CBC-01;57_ABC_CBC_Available_IP_InUse;SRT-ABC-03-LH2-KYRION-SOURCE;Broadcast;disconnected;disconnected;CBC Video Network;Listener;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;233.233.250.188;0.0.0.0;5,004;10,064;2/6/2026 09:35;377.38;368.39
SRT-CBC-01-55-1;SRT-CBC-01;55_CBC_ABC_Daily Loop Playout;RXCE105P04;Broadcast;connected;disconnected;SRT-ABC-03;Multicast;Caller;eno2;eno2;UDP;SRT;8.17;0;10.33.213.250;10.177.58.103;239.139.213.140;10,041;5,003;2/6/2026 09:35;377.38;368.39
SRT-CBC-01-53-1;SRT-CBC-01;53_ABC_CBC_AVAILABLE;SRT-ABC-03;Broadcast;connecting;disconnected;CBC VIDEO NETWORK;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;233.233.250.173;10.177.58.103;5,004;10,053;2/6/2026 09:35;377.38;368.39
SRT-CBC-01-52-1;SRT-CBC-01;52_ABC_CBC_U-1575-Universal Reality;SRT-ABC-03;Broadcast;connected;connected;CBC VIDEO NETWORK;Caller;Multicast;eno1;eno2;SRT;UDP;12.26;12.26;0.0.0.0;233.233.250.172;10.177.58.103;5,004;10,052;2/6/2026 09:35;377.38;368.39
SRT-CBC-01-34-1;SRT-CBC-01;34_CBC01_ABC01_STINGRAY_P;STINGRAY;Broadcast;disconnected;;;Multicast;;eno2;;UDP;;0;;10.33.65.247;;239.222.1.1;;4,002;2/6/2026 09:35;;
SRT-CBC-01-17-4;SRT-CBC-01;17_CBC_CoBC_TX69 Primary MUX;HVOS CL P;Broadcast;;disconnected;TEST UTPS;;Unicast;;eno2;;RTP;;0;;10.33.49.38;;5,090;;2/6/2026 09:35;377.38;368.39
SRT-CBC-01-17-3;SRT-CBC-01;17_CBC_CoBC_TX69 Primary MUX;HVOS CL P;Broadcast;;connected;P2P SRT-CoBC-1;;Caller;;;;SRT;;47.41;;10.177.242.101;;14,169;;2/6/2026 09:35;377.38;368.39
SRT-CBC-01-13-1;SRT-CBC-01;13_ABC_CBC_UComedy-HD_P;SRT-ABC-03;Broadcast;connected;connected;CBC VIDEO NETWORK;Listener;Multicast;eno1;eno2;SRT;UDP;10.22;10.22;0.0.0.0;233.233.250.192;0.0.0.0;5,004;10,076;2/6/2026 09:35;377.38;368.39
SRT-CBC-01-11-1;SRT-CBC-01;11_ABC_CBC_FX-HD_P;SRT-ABC-03;Broadcast;connected;connected;CBC VIDEO NETWORK;Listener;Multicast;eno1;eno2;SRT;UDP;12.26;12.26;0.0.0.0;233.233.250.190;0.0.0.0;5,004;10,073;2/6/2026 09:35;377.38;368.39
SRT-ABC-05-114-1;SRT-ABC-05;114_TVES_PRI-ABC_TEST;TVES_PRI-ABC_TEST;Broadcast;disconnected;;;Caller;;eno1;;SRT;;0;;0.0.0.0;;200.11.217.60;;20,001;2/6/2026 09:35;;
SRT-ABC-05-103-1;SRT-ABC-05;103_ABC05_SIMPLE_DTV-SPORTS-PLUS_P;DTV-SPORTS-PLUS_P;Broadcast;connected;connected;SIMPLE-TV_TEST;Multicast;Caller;eno2;eno1;UDP;SRT;14.14;14.14;10.77.6.7;138.185.64.42;239.195.6.7;4,079;8,000;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-095-1;SRT-ABC-05;095_TATA_ABC05_TEST-05;TATA_SERVER-05;Broadcast;connected;connected;LAN;Caller;Multicast;eno1;eno2;SRT;UDP;8.19;8.15;0.0.0.0;238.77.25.95;147.185.255.109;10,000;10,060;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-094-1;SRT-ABC-05;094_TATA_ABC05_TEST-04;TATA_SERVER-04;Broadcast;connecting;disconnected;LAN;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;238.77.25.94;147.185.255.109;10,000;10,050;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-093-1;SRT-ABC-05;093_TATA_ABC05_TEST-03;TATA_SERVER-03;Broadcast;connecting;disconnected;LAN;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;238.77.25.93;147.185.255.109;10,000;10,040;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-050-1;SRT-ABC-05;050_ABC05_TATA-AMC_BK;AMC-antes-dnews_BK;Broadcast;connected;connected;TATA_GVAMPP;Multicast;Caller;eno2;eno1;UDP;SRT;13.28;13.28;10.77.23.7;147.185.255.237;239.77.17.7;10,050;8,999;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-029-1;SRT-ABC-05;029_Stream_Munro_Dnews;Munro_Dnews;Broadcast;connected;disconnected;MunroDnews;Multicast;Listener;eno2;eno1;UDP;SRT;13.28;0;10.77.6.8;0.0.0.0;239.195.6.8;10,029;8,000;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-024-1;SRT-ABC-05;024_ABC_DNEWS _Youtube;DNEWS Youtube;Broadcast;connected;disconnected;DNEWS;Multicast;Caller;eno2;eno1;UDP;SRT;13.28;13.28;10.77.6.8;186.183.89.134;239.195.6.8;10,024;8,000;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-002-1;SRT-ABC-05;002_ECUAVISA_ECU_P_ABC05;ECUAVISA_ECU_P;Broadcast;connected;connected;LAN;Caller;Multicast;eno1;eno2;SRT;UDP;8.66;8.66;0.0.0.0;238.77.25.2;190.63.171.98;10,000;10,561;2/6/2026 09:35;427.71;435.77
SRT-ABC-04-106-1;SRT-ABC-04;106_DNEWS_ABC04_BK;DNEWS-LUMINA-BK;Broadcast;connected;connected;OCCR021;Caller;Multicast;ens33;ens34;SRT;UDP;10.64;10.65;0.0.0.0;238.77.24.106;186.183.89.122;10,000;10,106;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-095-1;SRT-ABC-04;095_EVRIDEO_ABC04_TEST;EVRIDEO;Broadcast;connecting;disconnected;PPV TEST;Caller;Multicast;ens33;ens34;SRT;UDP;0;0;0.0.0.0;238.77.24.95;138.3.244.195;10,000;41,286;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-094-1;SRT-ABC-04;094_CDO-Backup;CDO-Backup;Broadcast;connecting;disconnected;RCV-ABC-1319-B;Caller;Multicast;ens33;ens34;SRT;UDP;0;0;0.0.0.0;238.77.24.94;190.171.138.250;10,000;40,098;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-065-3;SRT-ABC-04;065_ABC04_LAN-TOOLBOX_POC_BORRAR;LAN-CHANNEL;Broadcast;;disconnected;bbc-test;;Listener;;ens33;;SRT;;0;;0.0.0.0;;14,018;;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-065-1;SRT-ABC-04;065_ABC04_LAN-TOOLBOX_POC_BORRAR;LAN-CHANNEL;Broadcast;connected;connected;TOOLBOX;Multicast;Multicast;ens34;ens34;UDP;UDP;13.28;13.28;10.77.22.61;238.77.16.61;239.77.16.61;8,999;8,999;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-035-1;SRT-ABC-04;035_TX70-MUXB-ABC_COBC;TX70-MUXB-ABC;Broadcast;connected;disconnected;COBC-02;Multicast;Caller;ens34;ens33;UDP;SRT;47.93;0;10.77.24.1;191.102.239.102;239.77.24.1;14,170;5,090;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-012-1;SRT-ABC-04;012_TATA_ABC04_POC-CHN2_AD Insertion;RX1120 Return;Broadcast;connecting;disconnected;lan;Listener;Multicast;ens33;ens34;SRT;UDP;0;0;0.0.0.0;238.77.24.12;0.0.0.0;10,000;2,050;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-005-4;SRT-ABC-04;005_ABC04_INTER-TV-DTV-SPORTS-PLUS_P;DTVSPORTS-PLUS;Broadcast;;connected;SIMPLE-TV;;Caller;;ens33;;SRT;;14.15;;138.185.64.44;;2,108;;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-004-3;SRT-ABC-04;004_ABC04_INTER-TV-DTV-SPORTS-2_P;DTV-SPORTS-2;Broadcast;;connected;TUVES(INTERTV-CHILE);;Listener;;ens33;;SRT;;13.94;;0.0.0.0;;10,204;;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-004-2;SRT-ABC-04;004_ABC04_INTER-TV-DTV-SPORTS-2_P;DTV-SPORTS-2;Broadcast;;connected;PUBLICIDAD_MULTIMEDIAA_LLC;;Listener;;ens33;;SRT;;13.95;;0.0.0.0;;10,104;;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-004-1;SRT-ABC-04;004_ABC04_INTER-TV-DTV-SPORTS-2_P;DTV-SPORTS-2;Broadcast;connected;connected;INTERTV-NETUNO;Multicast;Listener;ens34;ens33;UDP;SRT;13.95;13.94;10.77.6.6;0.0.0.0;239.195.6.6;10,037;8,000;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-003-1;SRT-ABC-04;003_manavision_abc04_bk;manavision;Broadcast;connected;connected;harmonic;Caller;Multicast;ens33;ens34;SRT;UDP;6.5;6.49;0.0.0.0;238.77.24.3;190.57.161.184;10,000;5,000;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-022-1;SRT-ABC-04;022_ABC04_CBC02_Std-UniversalHD_BK;Std-UniversalHD_B;Broadcast;connected;connected;CBC02;Multicast;Caller;ens34;ens33;UDP;SRT;12.26;12.26;10.77.23.16;154.197.114.205;239.77.17.16;10,023;8,999;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-041-1;SRT-ABC-04;041_ABC04_CBC02_MTV00_B_BORRAR_HHH;RCV1356_MTV00_B;Broadcast;disconnected;disconnected;CBC02_MTV00;Multicast;Caller;ens34;ens33;UDP;SRT;0;0;10.77.23.164;99.193.236.205;239.77.17.164;10,020;8,999;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-078-1;SRT-ABC-04;078_BBC_BAND_PIRATA;BBC_BAND_DNEWS;Broadcast;connecting;disconnected;OCA21B;Listener;Multicast;ens33;ens34;SRT;UDP;0;0;0.0.0.0;238.77.16.78;0.0.0.0;10,000;14,018;2/6/2026 09:35;317.92;470.46
SRT-ABC-05-012-1;SRT-ABC-05;012_Chilevision_Not_B;Chilevision;Broadcast;connected;connected;Chilevision_Dest;Caller;Multicast;eno1;eno2;SRT;UDP;7.66;7.65;0.0.0.0;238.77.25.12;190.98.209.37;10,000;1,112;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-025-1;SRT-ABC-05;025_BloombergP_ABC;Bloomberg P to ABC;Broadcast;connecting;disconnected;test bloom;Caller;Multicast;;eno2;SRT;UDP;0;0;0.0.0.0;238.77.25.25;144.121.133.77;10,000;12,200;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-030-1;SRT-ABC-05;030_ RTS_ABC05_P;RTS Primario;Broadcast;connected;connected;LAN;Caller;Multicast;eno1;eno2;SRT;UDP;5.02;5;0.0.0.0;238.77.25.30;45.239.51.5;10,000;1,030;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-096-1;SRT-ABC-05;096_TATA_ABC05_TEST-06;TATA_SERVER-06;Broadcast;connection established;disconnected;LAN;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;238.77.25.96;147.185.255.109;10,000;10,070;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-097-1;SRT-ABC-05;097_TATA_ABC05_TEST-07;TATA_SERVER-07;Broadcast;connected;connected;LAN;Caller;Multicast;eno1;eno2;SRT;UDP;8.17;8.19;0.0.0.0;238.77.25.97;147.185.255.109;10,000;10,080;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-098-1;SRT-ABC-05;098_TATA_ABC05_TEST-08;TATA_SERVER-08;Broadcast;connection established;disconnected;LAN;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;238.77.25.98;147.185.255.113;10,000;10,010;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-099-1;SRT-ABC-05;099_TATA_ABC05_TEST-09;TATA_SERVER-09;Broadcast;connection established;disconnected;LAN;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;238.77.25.99;147.185.255.110;10,000;10,016;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-107-1;SRT-ABC-05;107_TVAGRO_ABC05_BK;TVAGRO_BK;Broadcast;connected;connected;LAN;Caller;Multicast;eno1;eno2;SRT;UDP;5.11;5.11;0.0.0.0;238.77.25.107;179.1.112.150;10,000;6,276;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-113-1;SRT-ABC-05;113_TVAGRO-P-TEST;TVAGRO-TEST;Broadcast;connecting;;;Caller;;eno1;;SRT;;0;;0.0.0.0;;190.90.98.25;;6,275;2/6/2026 09:35;;
SRT-CBC-01-06-1;SRT-CBC-01;06_CBC_ABC_Escuela Plus HD_Contribution_P;CE105P07;Broadcast;connected;connected;SRT-ABC-01;Multicast;Caller;eno2;eno1;UDP;SRT;12.26;12.26;10.33.213.250;10.177.58.101;239.139.213.170;10,016;5,003;2/6/2026 09:35;377.38;368.39
SRT-ABC-04-005-2;SRT-ABC-04;005_ABC04_INTER-TV-DTV-SPORTS-PLUS_P;DTVSPORTS-PLUS;Broadcast;;connected;INTERTV-NETUNO;;Listener;;ens33;;SRT;;14.14;;0.0.0.0;;10,038;;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-005-3;SRT-ABC-04;005_ABC04_INTER-TV-DTV-SPORTS-PLUS_P;DTVSPORTS-PLUS;Broadcast;;connected;PUBLICIDAD_MULTIMEDIA_P;;Listener;;ens33;;SRT;;14.14;;0.0.0.0;;10,105;;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-023-1;SRT-ABC-04;023_ABC04_CBC02_UComedy-HD_BK;UComedy-HD_B;Broadcast;connected;connected;CBC02;Multicast;Caller;ens34;ens33;UDP;SRT;9.19;9.19;10.77.29.8;154.197.114.205;239.77.29.8;10,024;8,999;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-025-1;SRT-ABC-04;025_PMP_SRT04_GH-CAM01_BK;STD-PAMPA-GH-CAM01_BK;Broadcast;connected;connected;LAN;Listener;Multicast;ens33;ens34;SRT;UDP;6.76;6.76;0.0.0.0;238.77.24.25;0.0.0.0;10,000;10,025;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-026-1;SRT-ABC-04;026_PMP_SRT04_GH-CAM02_BK;STD-PAMPA-GH-CAM02_BK;Broadcast;connected;connected;LAN;Listener;Multicast;ens33;ens34;SRT;UDP;6.76;6.76;0.0.0.0;238.77.24.26;0.0.0.0;10,000;10,026;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-069-1;SRT-ABC-04;069_UNION-RADIO-EXITOS_ABC04_BK;CNUR-RCV;Broadcast;connected;connected;CNUR-RCV;Caller;Multicast;ens33;ens34;SRT;UDP;0.41;0.41;0.0.0.0;238.77.24.69;201.218.180.206;10,000;20,006;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-084-5;SRT-ABC-04;084_ABC04_TELECENTRO-DNEWS_BK;ENC-9008-B;Broadcast;;connected;ETB_Colombia_B;;Listener;;ens33;;SRT;;8.18;;0.0.0.0;;10,784;;2/6/2026 09:35;317.92;470.46
SRT-ABC-05-009-1;SRT-ABC-05;009_cinemaplus_abc03_p;cinemaplus;Broadcast;disconnected;;cloud;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;238.77.25.9;167.88.63.19;10,000;9,994;2/6/2026 09:35;427.71;435.77
SRT-ABC-05-118-TELETRACK-ABC5-1;SRT-ABC-05;118-TELETRACK-ABC5;TELETRACK;Broadcast;connected;connected;RCV1384B;Caller;Multicast;eno1;eno2;SRT;UDP;4.99;4.87;0.0.0.0;238.77.25.118;srt2.grupoz.cl;10,000;12,000;2/6/2026 09:35;427.71;435.77
SRT-CBC-01-09-1;SRT-CBC-01;09_VePlus HD Primary;Provider Encoder;Broadcast;connected;connected;CBC VIDEO NETWORK;Caller;Multicast;eno1;eno2;SRT;UDP;4.08;4.08;0.0.0.0;233.233.250.153;142.202.48.113;5,004;17,815;2/6/2026 09:35;377.38;368.39
SRT-CBC-01-10-1;SRT-CBC-01;10_TATA_CBC02_TEST;TATA_TEST;Broadcast;connected;connected;TATA PLAYOUT TEST;Caller;Multicast;eno1;eno2;SRT;UDP;8.17;8.16;0.0.0.0;233.233.250.200;66.110.75.73;5,004;10,010;2/6/2026 09:35;377.38;368.39
SRT-CBC-01-19-1;SRT-CBC-01;19_TC Television_OTT Primary;Provider Encoder;Broadcast;connected;connected;CBC VIDEO NETWORK;Caller;Multicast;;eno2;SRT;UDP;12.26;12.26;0.0.0.0;233.233.250.169;186.3.23.23;5,004;10,000;2/6/2026 09:35;377.38;368.39
SRT-ABC-04-006-1;SRT-ABC-04;006_ABC_INTER-TV_DTV-SPORTS-PAN_P;DTV-SPORTS-PAN;Broadcast;connected;connected;INTERTV-NETUNO;Multicast;Listener;ens34;ens33;UDP;SRT;13.94;13.94;10.77.6.5;0.0.0.0;239.195.6.5;10,039;8,000;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-006-2;SRT-ABC-04;006_ABC_INTER-TV_DTV-SPORTS-PAN_P;DTV-SPORTS-PAN;Broadcast;;connected;PUBLICIDAD_MULTIMEDIA_P;;Listener;;ens33;;SRT;;13.94;;0.0.0.0;;10,106;;2/6/2026 09:35;317.92;470.46
SRT-ABC-04-067-1;SRT-ABC-04;067_BBC_ABC-MUX-18-B;BBC-MUX-04;Broadcast;connecting;disconnected;MUX-18-B;Listener;Multicast;ens33;ens34;SRT;RTP;0;0;0.0.0.0;239.77.24.18;0.0.0.0;5,090;14,015;2/6/2026 09:35;317.92;470.46
SRT-CBC-02-86-1;SRT-CBC-02;86_CBC _BBC_OnPrem-MUX37-BU;On Prem MUX37 Backup;Broadcast;connected;disconnected;AWS Media Connect;Multicast;Caller;eno2;eno1;RTP;SRT;41.22;40.86;10.33.52.34;44.240.27.87;239.139.48.34;50,000;5,090;2/6/2026 09:35;439.65;333.46
SRT-CBC-02-85-1;SRT-CBC-02;85_XTSY-XXX_CBC02_BK;XTSY-XXX_BK;Broadcast;connected;connected;CBC VIDEO NETWORK;Caller;Multicast;eno1;eno2;SRT;UDP;5.64;5.64;0.0.0.0;233.233.251.214;176.61.131.55;5,004;6,020;2/6/2026 09:35;439.65;333.46
SRT-CBC-02-84-1;SRT-CBC-02;84_HUSTLER-TV_CBC02_BK;HUSTLER-TV_BK;Broadcast;connected;connected;CBC VIDEO NETWORK;Caller;Multicast;eno1;eno2;SRT;UDP;5.61;5.61;0.0.0.0;233.233.251.213;176.61.131.55;5,004;6,019;2/6/2026 09:35;439.65;333.46
SRT-CBC-02-83-1;SRT-CBC-02;83_PLAYBOY-TV_CBC02_BK;CLAXON-PLAYBOY-TV_BK;Broadcast;connected;connected;CBC VIDEO NETWORK;Caller;Multicast;eno1;eno2;SRT;UDP;6.84;6.85;0.0.0.0;233.233.251.212;15.204.160.114;5,004;10,083;2/6/2026 09:35;439.65;333.46
SRT-CBC-02-21-1;SRT-CBC-02;21_ABC_CBC Available;ABC04-FX-HD_B;Broadcast;disconnected;disconnected;CBC VIDEO NETWORK;Listener;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;233.233.251.190;0.0.0.0;5,004;10,022;2/6/2026 09:35;439.65;333.46
SRT-CBC-02-18-1;SRT-CBC-02;18_MORBIDO TV_B;Provider Encoder;Broadcast;connected;connected;CBC VIDEO NETWORK;Caller;Multicast;eno1;eno2;SRT;UDP;7.1;7.01;0.0.0.0;233.233.251.168;38.108.83.76;5,004;8,002;2/6/2026 09:35;439.65;333.46
SRT-CBC-01-82-1;SRT-CBC-01;82_VENUS_CBC01_P;CLAXON-VENUS_P;Broadcast;connected;connected;CBC VIDEO NETWORK;Caller;Multicast;eno1;eno2;SRT;UDP;7.01;7.01;0.0.0.0;233.233.250.211;15.204.160.128;5,004;10,082;2/6/2026 09:35;377.38;368.39
