Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-ABC-OTT-04-056-1,SRT-ABC-OTT-04,Broadcast,056_AWS_1038_ECDF_PR,1038_ECDF_PR,multicast,ens192,232.248.1.6,UDP,5007,10.77.32.1,connected,15.857,05/29/26 12:50,Connect_to_AWS_11001,SRT,11001,listener,ens224,0.0.0.0,15.861,connected,380.58,375.09
SRT-ABC-OTT-04-057-1,SRT-ABC-OTT-04,Broadcast,057_AWS_1221_TVN_BU,1221_TVN_BU,multicast,ens192,239.77.17.93,UDP,8999,10.77.23.93,connected,15.324,05/29/26 12:50,Connect_to_AWS_11006,SRT,11006,listener,ens224,0.0.0.0,15.324,connected,380.58,375.09
SRT-ABC-OTT-04-057-2,SRT-ABC-OTT-04,Broadcast,057_AWS_1221_TVN_BU,1221_TVN_BU,,,,,,,,,05/29/26 12:50,HAI_4_ABC_JBC_12,SRT,10111,listener,ens224,0.0.0.0,0,disconnected,380.58,375.09
SRT-ABC-OTT-04-058-1,SRT-ABC-OTT-04,Broadcast,058_AWS_1301_RPP_BU,1301_RPP_BU,multicast,ens192,239.77.17.71,UDP,8999,10.77.23.71,connected,13.281,05/29/26 12:50,Connect_to_AWS_11010,SRT,11010,listener,ens224,0.0.0.0,12.451,connected,380.58,375.09
SRT-ABC-OTT-04-058-2,SRT-ABC-OTT-04,Broadcast,058_AWS_1301_RPP_BU,1301_RPP_BU,,,,,,,,,05/29/26 12:50,HAI_4_ABC_JBC_30_2,SRT,10181,listener,ens224,0.0.0.0,0,disconnected,380.58,375.09
SRT-ABC-OTT-04-059-1,SRT-ABC-OTT-04,Broadcast,059_AWS_1295_Exitosa TV_BU,1295_Exitosa TV_BU,multicast,ens192,239.77.29.95,UDP,8999,10.77.29.95,connected,12.259,05/29/26 12:50,Connect_to_AWS_11012,SRT,11012,listener,ens224,0.0.0.0,12.259,connected,380.58,375.09
SRT-ABC-OTT-04-059-2,SRT-ABC-OTT-04,Broadcast,059_AWS_1295_Exitosa TV_BU,1295_Exitosa TV_BU,,,,,,,,,05/29/26 12:50,HAI_4_ABC_JBC_30_5,SRT,10184,listener,ens224,0.0.0.0,0,disconnected,380.58,375.09
SRT-ABC-OTT-04-1017_ATV_PLUS_HD_AWS_PR-1,SRT-ABC-OTT-04,Broadcast,1017_ATV_PLUS_HD_AWS_PR,1017_ATV_PLUS_HD_AWS_PR,multicast,ens192,239.77.16.42,UDP,8999,10.77.22.42,connected,8.173,05/29/26 12:50,1017_ATV_PLUS_HD_AWS_PR_AWS_PR,SRT,11015,listener,ens224,0.0.0.0,8.173,connected,380.58,375.09
SRT-ABC-OTT-04-1019_AXN_HD_AWS_PR-1,SRT-ABC-OTT-04,Broadcast,1019_AXN_HD_AWS_PR,1019_AXN_HD_AWS_PR,multicast,ens192,239.77.16.77,UDP,8999,10.77.22.77,connected,10.216,05/29/26 12:50,1019_AXN_HD_AWS_PR_AWS_PR,SRT,11002,listener,ens224,0.0.0.0,10.216,connected,380.58,375.09
SRT-ABC-OTT-04-1060_DSports ECU_DR-1,SRT-ABC-OTT-04,Broadcast,1060_DSports ECU_DR,1060_DSports ECU_DR,multicast,ens192,239.195.10.10,RTP,8000,10.77.10.9,connected,13.475,05/29/26 12:50,To JBCDR02_Normal,SRT,10152,caller,ens224,189.28.31.2,13.356,connected,380.58,375.09
