Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-ABC-OTT-01-01-1,SRT-ABC-OTT-01,Broadcast,01_1003_A&E HD_AWS,A&E HD,multicast,ens192,239.77.17.24,UDP,8999,10.77.23.24,connected,13.281,05/29/26 12:01,HAI_1_ABC_JBC_01,SRT,10001,caller,ens224,189.28.31.1,13.281,connected,491.43,435.51
SRT-ABC-OTT-01-03-1,SRT-ABC-OTT-01,Broadcast,03_1104_ESPN_ARG (ABC Titan)_AWS,1104_ESPN_ARG,multicast,ens192,232.248.134.3,UDP,5007,10.77.32.134,connected,15.425,05/29/26 12:01,HAI_1_ABC_JBC_03,SRT,10003,caller,ens224,189.28.31.1,15.425,connected,491.43,435.51
SRT-ABC-OTT-01-05-1,SRT-ABC-OTT-01,Broadcast,05_1011_America TV HD_PERU_AWS,America TV HD_PERU,multicast,ens192,239.77.17.28,UDP,8999,10.77.23.28,connected,15.939,05/29/26 12:01,HAI_1_ABC_JBC_05,SRT,10005,caller,ens224,189.28.31.1,15.939,connected,491.43,435.51
SRT-ABC-OTT-01-06-1,SRT-ABC-OTT-01,Broadcast,06_1105_ESPN_CHI (ABC Titan)_AWS,1105_ESPN_CHI,multicast,ens192,232.248.131.3,UDP,5007,10.77.32.131,connected,15.425,05/29/26 12:01,HAI_1_ABC_JBC_06,SRT,10006,caller,ens224,189.28.31.1,15.425,connected,491.43,435.51
SRT-ABC-OTT-01-07-1,SRT-ABC-OTT-01,Broadcast,07_1109_ESPN_PER (ABC Titan)_AWS,1109_ESPN_PER,multicast,ens192,232.248.133.2,UDP,5007,10.77.32.133,connected,15.425,05/29/26 12:01,HAI_1_ABC_JBC_07,SRT,10007,caller,ens224,189.28.31.1,15.425,connected,491.43,435.51
SRT-ABC-OTT-01-08-1,SRT-ABC-OTT-01,Broadcast,08_1016_ATV - Andina de TV HD_AWS,ATV - Andina de TV HD,multicast,ens192,239.77.17.37,UDP,8999,10.77.23.37,connected,26.359,05/29/26 12:01,HAI_1_ABC_JBC_08,SRT,10008,caller,ens224,189.28.31.1,26.360,connected,491.43,435.51
SRT-ABC-OTT-01-1009_A24_AWS_PR-1,SRT-ABC-OTT-01,Broadcast,1009_A24_AWS_PR,1009_A24_AWS_PR,multicast,ens192,232.248.2.2,UDP,5007,10.77.32.2,connected,15.844,05/29/26 12:01,1009_A24_AWS_PR_AWS_PR,SRT,11001,listener,ens224,0.0.0.0,15.841,connected,491.43,435.51
SRT-ABC-OTT-01-1060_DSports ECU_to_JBC_DR_DR-1,SRT-ABC-OTT-01,Broadcast,1060_DSports ECU_to_JBC_DR_DR,1060_DSports ECU_to_JBC_DR_DR,multicast,ens192,239.195.10.10,UDP,8000,10.77.10.9,connected,13.478,05/29/26 12:01,1060_DSports ECU_to_JBC_DR_DR,SRT,10152,caller,ens224,189.28.31.61,0.0,disconnected,491.43,435.51
SRT-ABC-OTT-01-1066_DIRECTV_SPORTS_OCC_3_AWS_PR-1,SRT-ABC-OTT-01,Broadcast,1066_DIRECTV_SPORTS_OCC_3_AWS_PR,1066_DIRECTV_SPORTS_OCC_3_AWS_PR,multicast,ens192,232.248.3.3,UDP,5007,10.77.32.3,connected,15.939,05/29/26 12:01,1066_DIRECTV_SPORTS_OCC_3_AWS_PR_AWS_PR,SRT,11002,listener,ens224,0.0.0.0,15.938,connected,491.43,435.51
SRT-ABC-OTT-01-1075_DISCOVERY_HOME_&_HEALTH_AWS_PR-1,SRT-ABC-OTT-01,Broadcast,1075_DISCOVERY_HOME_&_HEALTH_AWS_PR,1075_DISCOVERY_HOME_&_HEALTH_AWS_PR,multicast,ens192,239.77.16.31,UDP,8999,10.77.22.31,connected,12.259,05/29/26 12:01,1075_DISCOVERY_HOME_&_HEALTH_AWS_PR_AWS_PR,SRT,11003,listener,ens224,0.0.0.0,12.259,connected,491.43,435.51
