Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-ABC-OTT-02-01-1,SRT-ABC-OTT-02,Broadcast,01_1065_OCC2_AWS,1065_OCC2_VOS,multicast,ens192,232.248.132.1,UDP,5007,10.77.32.132,connected,15.876,05/29/26 12:46,HAI_2_ABC_JBC_22,SRT,10055,caller,ens224,189.28.31.3,15.876,connected,439.32,433.64
SRT-ABC-OTT-02-06-1,SRT-ABC-OTT-02,Broadcast,06_1061_DSPORTS_PERU_AD_EDGE_AWS,1061_DSPORTS_PERU_AD_EDGE,multicast,ens192,239.195.110.9,UDP,8000,10.77.10.9,connected,19.878,05/29/26 12:46,HAI_2_ABC_JBC_5,SRT,10038,caller,ens224,189.28.31.3,19.878,connected,439.32,433.64
SRT-ABC-OTT-02-1009_A24_AWS_BU-1,SRT-ABC-OTT-02,Broadcast,1009_A24_AWS_BU,1009_A24_AWS_BU,multicast,ens192,232.248.132.2,UDP,5007,10.77.32.132,connected,15.841,05/29/26 12:46,1009_A24_AWS_BU_AWS_BU,SRT,11001,listener,ens224,0.0.0.0,15.836,connected,439.32,433.64
SRT-ABC-OTT-02-1014_ANTENA_3__HD_AWS_PR-1,SRT-ABC-OTT-02,Broadcast,1014_ANTENA_3__HD_AWS_PR,1014_ANTENA_3__HD_AWS_PR,multicast,ens192,239.77.16.29,UDP,8999,10.77.22.29,connected,10.216,05/29/26 12:46,1014_ANTENA_3__HD_AWS_PR_AWS_PR,SRT,11011,listener,ens224,0.0.0.0,10.216,connected,439.32,433.64
SRT-ABC-OTT-02-1028_C5N_CANAL_5_NOTICIAS_AWS_PR-1,SRT-ABC-OTT-02,Broadcast,1028_C5N_CANAL_5_NOTICIAS_AWS_PR,1028_C5N_CANAL_5_NOTICIAS_AWS_PR,multicast,ens192,232.248.2.6,UDP,5007,10.77.32.2,connected,15.834,05/29/26 12:46,1028_C5N_CANAL_5_NOTICIAS_AWS_PR_AWS_PR,SRT,11002,listener,ens224,0.0.0.0,15.837,connected,439.32,433.64
SRT-ABC-OTT-02-1031_CANAL_26_HD_AWS_PR-1,SRT-ABC-OTT-02,Broadcast,1031_CANAL_26_HD_AWS_PR,1031_CANAL_26_HD_AWS_PR,multicast,ens192,232.248.6.7,UDP,5007,10.77.32.6,connected,15.831,05/29/26 12:46,1031_CANAL_26_HD_AWS_PR_AWS_PR,SRT,11003,listener,ens224,0.0.0.0,15.835,connected,439.32,433.64
SRT-ABC-OTT-02-1057_DSports_Arg_DR-1,SRT-ABC-OTT-02,Broadcast,1057_DSports_Arg_DR,1057_DSports_Arg_New,multicast,ens192,239.195.110.12,UDP,8000,10.77.10.11,connected,13.522,05/29/26 12:46,HA2_1_ABC_JBC_39,SRT,10039,caller,ens224,189.28.31.3,13.522,connected,439.32,433.64
SRT-ABC-OTT-02-1058_DSports_CHI_New_AWS-1,SRT-ABC-OTT-02,Broadcast,1058_DSports_CHI_New_AWS,1058_DSports_CHI_New,multicast,ens192,232.248.133.5,UDP,5007,10.77.32.133,connected,12.855,05/29/26 12:46,HAI_2_ABC_JBC_10,SRT,10043,caller,ens224,189.28.31.3,12.858,connected,439.32,433.64
SRT-ABC-OTT-02-1066_DIRECTV_SPORTS_OCC_3_AWS_BU-1,SRT-ABC-OTT-02,Broadcast,1066_DIRECTV_SPORTS_OCC_3_AWS_BU,1066_DIRECTV_SPORTS_OCC_3_AWS_BU,multicast,ens192,232.248.133.3,UDP,5007,10.77.32.133,connected,15.939,05/29/26 12:46,1066_DIRECTV_SPORTS_OCC_3_AWS_BU_AWS_BU,SRT,11012,listener,ens224,0.0.0.0,15.939,connected,439.32,433.64
SRT-ABC-OTT-02-1067_DIRECTV_SPORTS_OCC_4_AWS_PR-1,SRT-ABC-OTT-02,Broadcast,1067_DIRECTV_SPORTS_OCC_4_AWS_PR,1067_DIRECTV_SPORTS_OCC_4_AWS_PR,multicast,ens192,232.248.3.8,UDP,5007,10.77.32.3,connected,15.939,05/29/26 12:46,1067_DIRECTV_SPORTS_OCC_4_AWS_PR_AWS_PR,SRT,11004,listener,ens224,0.0.0.0,15.939,connected,439.32,433.64
SRT-ABC-OTT-02-1075_DISCOVERY_HOME_&_HEALTH_AWS_BU-1,SRT-ABC-OTT-02,Broadcast,1075_DISCOVERY_HOME_&_HEALTH_AWS_BU,1075_DISCOVERY_HOME_&_HEALTH_AWS_BU,multicast,ens192,239.77.17.31,UDP,8999,10.77.23.31,connected,12.259,05/29/26 12:46,1075_DISCOVERY_HOME_&_HEALTH_AWS_BU_AWS_BU,SRT,11013,listener,ens224,0.0.0.0,12.259,connected,439.32,433.64
SRT-ABC-OTT-02-1079_DISCOVERY_KIDS_HD_AWS_PR-1,SRT-ABC-OTT-02,Broadcast,1079_DISCOVERY_KIDS_HD_AWS_PR,1079_DISCOVERY_KIDS_HD_AWS_PR,multicast,ens192,239.77.28.78,UDP,8999,10.77.28.78,connected,13.281,05/29/26 12:46,1079_DISCOVERY_KIDS_HD_AWS_PR_AWS_PR,SRT,11005,listener,ens224,0.0.0.0,13.281,connected,439.32,433.64
SRT-ABC-OTT-02-1116_ESPN_5_CHILE_AWS_PR-1,SRT-ABC-OTT-02,Broadcast,1116_ESPN_5_CHILE_AWS_PR,1116_ESPN_5_CHILE_AWS_PR,multicast,ens192,239.77.16.70,UDP,8999,10.77.22.70,connected,15.324,05/29/26 12:46,1116_ESPN_5_CHILE_AWS_PR_AWS_PR,SRT,11018,listener,ens224,0.0.0.0,15.324,connected,439.32,433.64
SRT-ABC-OTT-02-1117_ESPN_PREMIUM_AWS_PR-1,SRT-ABC-OTT-02,Broadcast,1117_ESPN_PREMIUM_AWS_PR,1117_ESPN_PREMIUM_AWS_PR,multicast,ens192,239.77.16.76,UDP,8999,10.77.22.76,connected,20.429,05/29/26 12:46,1117_ESPN_PREMIUM_AWS_PR_AWS_PR,SRT,11008,listener,ens224,0.0.0.0,20.429,connected,439.32,433.64
