Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-ABC-OTT-03-1286_KZO_DR-1,SRT-ABC-OTT-03,Broadcast,1286_KZO_DR,1286_KZO_DR,multicast,ens192,232.248.134.10,UDP,5007,10.77.32.134,connected,15.861,05/29/26 12:49,JBC03,SRT,10016,caller,ens224,189.28.31.3,15.861,connected,481.58,390.21
SRT-ABC-OTT-03-15-1,SRT-ABC-OTT-03,Broadcast,15_1157_Latina,Latina,multicast,ens192,239.77.17.150,UDP,8999,10.77.23.150,connected,10.216,05/29/26 12:49,HAI_3_ABC_JBC_15,SRT,10081,caller,ens224,189.28.31.3,10.216,connected,481.58,390.21
SRT-ABC-OTT-03-17-1,SRT-ABC-OTT-03,Broadcast,17_1162_Mega HD_CHI,Mega HD_CHI,multicast,ens192,239.77.17.41,UDP,8999,10.77.23.41,connected,10.216,05/29/26 12:49,HAI_3_ABC_JBC_17,SRT,10083,caller,ens224,189.28.31.3,10.216,connected,481.58,390.21
SRT-ABC-OTT-03-19-1,SRT-ABC-OTT-03,Broadcast,19_AWS_1221_TVN_PR,AWS_1221_TVN_PR,multicast,ens192,239.77.16.93,UDP,8999,10.77.22.93,connected,15.324,05/29/26 12:49,Connect_to_AWS_11005,SRT,11005,listener,ens224,0.0.0.0,15.324,connected,481.58,390.21
SRT-ABC-OTT-03-20-1,SRT-ABC-OTT-03,Broadcast,20_AWS_1030_Canal 13 CHI,1030_Canal 13 CHI,multicast,ens192,239.77.17.25,UDP,8999,10.77.23.25,connected,10.216,05/29/26 12:49,HAI_3_ABC_JBC_23,SRT,10089,listener,ens224,0.0.0.0,0,disconnected,481.58,390.21
SRT-ABC-OTT-03-20-2,SRT-ABC-OTT-03,Broadcast,20_AWS_1030_Canal 13 CHI,1030_Canal 13 CHI,,,,,,,,,05/29/26 12:49,HAI_3_ABC_JBC_3,SRT,10078,caller,ens224,189.28.31.3,10.216,connected,481.58,390.21
SRT-ABC-OTT-03-22-1,SRT-ABC-OTT-03,Broadcast,22_AWS_1295_EXITOSA_TV_PR,1295_EXITOSA_TV_PR,multicast,ens192,239.77.28.95,UDP,8999,10.77.28.95,connected,12.259,05/29/26 12:49,Connect_to_AWS_11011,SRT,11011,listener,ens224,0.0.0.0,12.259,connected,481.58,390.21
SRT-ABC-OTT-03-23-1,SRT-ABC-OTT-03,Broadcast,23_AWS_1186_RTS_PR,1186_RTS_PR,multicast,ens192,239.77.28.60,UDP,8999,10.77.28.60,connected,13.281,05/29/26 12:49,Connect_to_AWS_11013,SRT,11013,listener,ens224,0.0.0.0,13.281,connected,481.58,390.21
SRT-ABC-OTT-03-28-1,SRT-ABC-OTT-03,Broadcast,28_1180_Panamericana TV,Panamericana TV,multicast,ens192,239.77.16.130,UDP,8999,10.77.22.130,connected,7.151,05/29/26 12:49,HAI_3_ABC_JBC_3,SRT,10079,caller,ens224,189.28.31.3,7.151,connected,481.58,390.21
SRT-ABC-OTT-03-28-2,SRT-ABC-OTT-03,Broadcast,28_1180_Panamericana TV,Panamericana TV,,,,,,,,,05/29/26 12:49,TBX-SRT,SRT,10094,listener,ens224,0.0.0.0,0,disconnected,481.58,390.21
SRT-ABC-OTT-03-32-1,SRT-ABC-OTT-03,Broadcast,32_1192_Spaces HD_AKA space Andes,Spaces HD_AKA space Andes,multicast,ens192,239.77.17.2,UDP,8999,10.77.23.2,connected,10.216,05/29/26 12:49,HAI_3_ABC_JBC_32,SRT,10098,caller,ens224,189.28.31.3,10.216,connected,481.58,390.21
SRT-ABC-OTT-03-33-1,SRT-ABC-OTT-03,Broadcast,33_1193_Space Sur_DR,Space Sur,multicast,ens192,239.77.17.1,UDP,8999,10.77.23.1,connected,10.216,05/29/26 12:49,HAI_3_ABC_JBC_33,SRT,10099,caller,ens224,189.28.31.3,10.216,connected,481.58,390.21
SRT-ABC-OTT-03-35-1,SRT-ABC-OTT-03,Broadcast,35_1059_DirecTV Sports COL_LL,1059_DirecTV Sports COL_LL,multicast,ens192,239.195.110.11,UDP,8000,10.77.10.11,connected,13.356,05/29/26 12:49,HAI_3_ABC_JBC_35,SRT,10101,caller,ens224,189.28.31.3,13.356,connected,481.58,390.21
SRT-ABC-OTT-03-63-1,SRT-ABC-OTT-03,Broadcast,63_1159_Lifetime LA,Lifetime LA,multicast,ens192,239.77.16.12,UDP,8999,10.77.22.12,disconnected,0.0,05/29/26 12:49,HAI_3_ABC_JBC_3,SRT,10069,listener,ens224,0.0.0.0,0,disconnected,481.58,390.21
SRT-ABC-OTT-03-64-1,SRT-ABC-OTT-03,Broadcast,64_1294_CHV_Noticias,1294_CHV_Noticias,multicast,ens192,239.77.29.42,UDP,8999,10.77.29.42,disconnected,0.0,05/29/26 12:49,TBX-SRT,SRT,10072,listener,ens224,0.0.0.0,0,disconnected,481.58,390.21
SRT-ABC-OTT-03-65-1,SRT-ABC-OTT-03,Broadcast,65_1135_Golf Channel HD,Golf Channel HD,multicast,ens192,239.77.16.86,UDP,8999,10.77.22.86,disconnected,0.0,05/29/26 12:49,TBX-SRT,SRT,10073,listener,ens224,0.0.0.0,0,disconnected,481.58,390.21
SRT-ABC-OTT-03-x.34_1057_DirecTV Sports ARG_LL-1,SRT-ABC-OTT-03,Broadcast,x.34_1057_DirecTV Sports ARG_LL,1057_DirecTV Sports ARG LL,multicast,ens192,239.195.110.1,UDP,8000,10.77.10.1,disconnected,0.0,05/29/26 12:49,HAI_3_ABC_JBC_34,SRT,10100,caller,ens224,189.28.31.3,0.0,disconnected,481.58,390.21
SRT-ABC-OTT-03-x.deact_1245_VTV_HD_AWS_PR-1,SRT-ABC-OTT-03,Broadcast,x.deact_1245_VTV_HD_AWS_PR,1245_VTV_HD_AWS_PR,multicast,ens192,239.77.16.49,UDP,8999,10.77.22.49,disconnected,0.0,05/29/26 12:49,1245_VTV_HD_AWS_PR_AWS_PR,SRT,11015,listener,ens224,0.0.0.0,0,disconnected,481.58,390.21
