Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-CBC-01-01-1,SRT-CBC-01,Broadcast,01_DirecTV Sports Venezuela Primary_LEAVE OFF,Provider Encoder_Fiber feed,caller,eno1,138.185.64.30,SRT,9332,0.0.0.0,connecting,0.0,06/01/26 10:07,CBC Video Network,UDP,5004,multicast,eno2,233.233.250.175,0.000,disconnected,356.88,337.00
SRT-CBC-01-02-1,SRT-CBC-01,Broadcast,02_ECUAVISA QUITO ECUADOR_PRIMARY,Provider Encoder,caller,eno1,190.63.18.178,SRT,10000,0.0.0.0,connected,7.153,06/01/26 10:07,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.159,7.132,connected,356.88,337.00
SRT-CBC-01-03-1,SRT-CBC-01,Broadcast,03_Canal I Primary,Provider Encoder,caller,eno1,38.41.27.35,SRT,9003,0.0.0.0,connected,6.856,06/01/26 10:07,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.250.161,6.782,connected,356.88,337.00
SRT-CBC-01-04-1,SRT-CBC-01,Broadcast,04_ShowVen TV Primary,Provider Encoder,caller,,200.90.12.21,SRT,9008,0.0.0.0,connected,3.315,06/01/26 10:07,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.250.160,3.306,connected,356.88,337.00
SRT-CBC-01-05-1,SRT-CBC-01,Broadcast,05_Reino Infantil,Provider Encoder,caller,eno1,200.33.4.44,SRT,10073,0.0.0.0,connected,6.142,06/01/26 10:07,CBC Video Network,UDP,5004,multicast,eno2,233.233.250.166,6.131,connected,356.88,337.00
SRT-CBC-01-06-1,SRT-CBC-01,Broadcast,06_CBC_ABC_Escuela Plus HD_Contribution_P,CE105P07,multicast,eno2,239.139.213.170,UDP,5003,10.33.213.250,connected,12.259,06/01/26 10:07,SRT-ABC-01,SRT,10016,caller,eno1,10.177.58.101,12.262,connected,356.88,337.00
SRT-CBC-01-07-1,SRT-CBC-01,Broadcast,07_CBC_ABC_AVAILABLE,Primary Mux Feed,multicast,eno2,239.139.42.162,UDP,2026,10.33.42.162,disconnected,0.0,06/01/26 10:07,SRT-ABC-01,SRT,10019,caller,eno2,10.177.58.101,0.0,disconnected,356.88,337.00
SRT-CBC-01-08-1,SRT-CBC-01,Broadcast,08_ABC_CBC_HBO HD (CAR)_P,SRT-ABC-01,listener,,0.0.0.0,SRT,10010,0.0.0.0,connected,40.858,06/01/26 10:07,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.250.163,41.223,connected,356.88,337.00
SRT-CBC-01-09-1,SRT-CBC-01,Broadcast,09_VePlus HD Primary,Provider Encoder,caller,eno1,142.202.48.113,SRT,17815,0.0.0.0,connected,4.083,06/01/26 10:07,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.153,4.086,connected,356.88,337.00
SRT-CBC-01-10-1,SRT-CBC-01,Broadcast,10_TATA_CBC02_TEST,TATA_TEST,caller,eno1,66.110.75.73,SRT,10010,0.0.0.0,connected,8.163,06/01/26 10:07,TATA PLAYOUT TEST,UDP,5004,multicast,eno2,233.233.250.200,8.169,connected,356.88,337.00
SRT-CBC-01-11-1,SRT-CBC-01,Broadcast,11_ABC_CBC_FX-HD_P,SRT-ABC-03,listener,eno1,0.0.0.0,SRT,10073,0.0.0.0,connected,12.259,06/01/26 10:07,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.190,12.259,connected,356.88,337.00
SRT-CBC-01-12-1,SRT-CBC-01,Broadcast,12_ABC_CBC_Std-Universal-HD_P,SRT-ABC-03,listener,eno1,0.0.0.0,SRT,10075,0.0.0.0,connected,12.259,06/01/26 10:07,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.191,12.259,connected,356.88,337.00
SRT-CBC-01-13-1,SRT-CBC-01,Broadcast,13_ABC_CBC_UComedy-HD_P,SRT-ABC-03,listener,eno1,0.0.0.0,SRT,10076,0.0.0.0,connected,10.216,06/01/26 10:07,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.192,10.216,connected,356.88,337.00
SRT-CBC-01-14-1,SRT-CBC-01,Broadcast,14_VALE TV Primary,Provider Encoder,caller,,38.76.136.245,SRT,10001,0.0.0.0,connected,4.047,06/01/26 10:07,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.162,3.718,connected,356.88,337.00
SRT-CBC-01-16-1,SRT-CBC-01,Broadcast,16_Vepaco TV Primary,Provider Encoder,caller,eno1,190.15.176.250,SRT,9010,0.0.0.0,connected,6.524,06/01/26 10:07,CBC VIDEO NETWORK,RTP,5004,multicast,eno2,233.233.250.167,6.529,connected,356.88,337.00
SRT-CBC-01-17-1,SRT-CBC-01,Broadcast,17_CBC_CoBC_TX69 Primary MUX,HVOS CL P,multicast,eno2,239.139.48.38,UDP,5090,10.33.48.38,connected,47.412,06/01/26 10:07,ABC01-MUX69-WAROUND2,SRT,10017,caller,eno1,10.177.58.101,0.0,disconnected,356.88,337.00
SRT-CBC-01-17-2,SRT-CBC-01,Broadcast,17_CBC_CoBC_TX69 Primary MUX,HVOS CL P,,,,,,,,,06/01/26 10:07,ABC05_WORKAROUND,SRT,10027,caller,,10.177.58.105,0.0,disconnected,356.88,337.00
SRT-CBC-01-17-3,SRT-CBC-01,Broadcast,17_CBC_CoBC_TX69 Primary MUX,HVOS CL P,,,,,,,,,06/01/26 10:07,P2P SRT-CoBC-1,SRT,14169,caller,,10.177.242.101,47.412,connected,356.88,337.00
SRT-CBC-01-17-4,SRT-CBC-01,Broadcast,17_CBC_CoBC_TX69 Primary MUX,HVOS CL P,,,,,,,,,06/01/26 10:07,TEST UTPS,RTP,5090,unicast,eno2,10.33.49.38,0.0,disconnected,356.88,337.00
SRT-CBC-01-18-1,SRT-CBC-01,Broadcast,18_MORBIDO TV_P,Provider Encoder,caller,eno1,38.108.83.73,SRT,8002,0.0.0.0,connected,7.083,06/01/26 10:07,CBC VIDEO NETWORK,UDP,5004,multicast,eno2,233.233.250.168,7.297,connected,356.88,337.00
