Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-ABC-03-001-1,SRT-ABC-03,Broadcast,001_ECUAVISA_ABC03_P,ECUAVISA_GUAYAQUIL,caller,ens33,190.63.171.98,SRT,10562,0.0.0.0,connected,8.638,06/04/26 11:18,RCV,UDP,10000,multicast,ens34,238.77.23.1,8.653,connected,336.63,461.59
SRT-ABC-03-002-1,SRT-ABC-03,Broadcast,002_C9Mendoza_TATA_ABC03_B,002_C9Mendoza_TATA,caller,ens33,157.151.25.14,SRT,10002,0.0.0.0,connected,10.537,06/04/26 11:18,RCV-ABC-1383-B,UDP,10000,multicast,ens34,238.77.23.2,10.546,connected,336.63,461.59
SRT-ABC-03-003-1,SRT-ABC-03,Broadcast,003_manavision_abc03_P,manavision,caller,ens33,190.57.161.184,SRT,4000,0.0.0.0,connected,6.550,06/04/26 11:18,harmonic,UDP,10000,multicast,ens34,238.77.23.3,6.554,connected,336.63,461.59
SRT-ABC-03-004-1,SRT-ABC-03,Broadcast,004_ABC03_SIMPLE_DSPORT-PAN_P,DKyrion-1P-SPORTS,multicast,ens34,239.195.6.5,UDP,8000,10.77.6.5,connected,13.940,06/04/26 11:18,simple_p,SRT,10014,caller,ens33,138.185.64.42,13.940,connected,336.63,461.59
SRT-ABC-03-005-1,SRT-ABC-03,Broadcast,005_CONGRESO_PERU_ABC03_P,CONGRESO_PERU_P,caller,ens33,161.132.242.53,SRT,10010,0.0.0.0,connected,5.857,06/04/26 11:18,RCV-ABC-1065-P,UDP,10000,multicast,ens34,238.77.23.5,5.854,connected,336.63,461.59
SRT-ABC-03-011-1,SRT-ABC-03,Broadcast,011_CBC_ABC_TATA CHN1_LiveSports,CHN1_LiveSports,listener,ens33,0.0.0.0,SRT,10018,0.0.0.0,disconnected,0.0,06/04/26 11:18,lan,UDP,10000,multicast,ens34,238.77.23.11,0,,336.63,461.59
SRT-ABC-03-012-1,SRT-ABC-03,Broadcast,012_CBC_ABC_TATA CHN2_AD Insertion,CHN2_AD Insertion,listener,ens33,0.0.0.0,SRT,10032,0.0.0.0,disconnected,0.0,06/04/26 11:18,lan,UDP,10000,multicast,ens34,238.77.23.12,0,,336.63,461.59
SRT-ABC-03-014-1,SRT-ABC-03,Broadcast,014_CBC_ABC_TATA CHN3_PPV,TATA CHN3_PPV,listener,ens33,0.0.0.0,SRT,10033,0.0.0.0,disconnected,0.0,06/04/26 11:18,lan,UDP,10000,multicast,ens34,238.77.23.14,0,,336.63,461.59
SRT-ABC-03-015-1,SRT-ABC-03,Broadcast,015_DShow_ a_ Proveedores_P,DShow_Ateme_OTT_P,multicast,ens34,232.248.1.4,UDP,5007,10.77.32.1,connected,8.274,06/04/26 11:18,DShow_ETB_P,SRT,10015,listener,ens33,0.0.0.0,8.274,connected,336.63,461.59
SRT-ABC-03-016-1,SRT-ABC-03,Broadcast,016_RadioSimpleTV_ABC,RadioSimpleTV,caller,ens33,138.185.64.21,SRT,1102,0.0.0.0,connecting,0.0,06/04/26 11:18,Simple TV Radio,RTP,10000,multicast,ens34,238.77.23.16,0.0,disconnected,336.63,461.59
